origen,fecha,momento,campo,lectura,desambiguacion
orig01,2026-03-20,medianoche,URSOMARINA dosis,label 20kg 1/2 noche vs 10kg día,½ comprimido de ursomarina.
orig01,2026-03-20,medianoche,TRILOSTANO estado,"trazo curvo tipo alfa, interpretado dado",dado
orig01,2026-03-22,mediodia,INSULINA estado,checkmark fino vs /,dado
orig02,2026-03-23,mediodia,URSO/TRILO/DIPI/GABA estado,"/ diagonal fino Lunes, dado",dado
orig02,2026-03-26,mediodia,TRILOSTANO estado,"trazo parece P, dado",dado
orig03,2026-03-30,mediodia,URSOMARINA estado,"trazo loop P, dado",dado
orig03,2026-04-01,mediodia,GABAPENTINA estado,"/ leve, dado",dado
orig03,2026-04-02,mediodia,GABAPENTINA estado,"trazo P, dado",dado
orig04,2026-04-12,mediodia,INSULINA dosis,"X 0,08 manuscrito debajo","Dado 0,08ml"
orig04,2026-04-11,medianoche,INSULINA,"0,08 + X tachado encima, dado 0.08ml","Dado 0,08ml"
orig05,2026-04-15/19,mediodia+medianoche,INSULINA dosis,"0,1 superpuesto a X, 0.1 vs 0.08","Dado 0,1ml"
orig05,2026-04-19,mediodia,glucosa valor,285 15HS,"285 a las 15hs en vez del mediodia, no hubo medicion al mediodia"
orig05,2026-04-19,ayuno,glucemia,261 celda domingo + margen,medicion extra a la mañana
orig06,2026-04-20/23,ayuno,segunda fila,"T°=39,2°C Lun 7:15 + 39,9°C DIPI Jue, no glucemia",mediciones de temperatura y ¼ de comprimido de dipirona
orig06,2026-04-22,medianoche,DIPIRONA estado,"X 40,1°C, dado + temp aparte",¼ dipirona y medicion de temperatura
orig06,2026-04-26,mediodia,PROTELIV estado,"asterisco/tachón, ambiguo",proteliv dado
orig07,2026-04-27,ayuno,glucosa valor,"209 trazo grueso, posible 209/203",Glucemia 209
orig07,2026-05-03,mediodia,MELOXICAM,"CALCIVET .FM. ilegible, ambiguo","sin meloxicam, dado calcivet y fm [CSV: meloxicam no_dado; sin filas dieta]"
orig07,2026-04-29,mediodia,GABAPENTINA,"marca P/8, probable X",dado gabapentina
orig07,2026-05-01,medianoche,glucosa valor,"4 números superpuestos N458/397/263/A287 + 16° 262, ilegible",mediciones multiples. M= glucometro maverick 458/397 A= glucometro accuchek 263/287 [CSV: 263 mínimo]
orig07,2026-05-02,mediodia,GABAPENTINA,marca tenue vs X,gabapentina dado
orig10,2026-05-18,mediodia,glucosa valor,M203/A223 doble valor,"mediciones multiples m= glucometro maverick 203, glucometro accuchek= 223 [CSV: 203 mínimo, reemplaza 283]"
orig10,2026-05-19,mediodia,glucosa valor,M329/4313 o A313 corrido,Maverick 329 accuchek 313 [CSV: queda 188 mínimo]
orig10,2026-05-20,mediodia,glucosa valor,A270 con A pequeña,Accuchek 270 [CSV: queda 160 mínimo]
orig10,2026-05-24,mediodia,glucosa valor,126/144 stacked,dos mediciones 126 y 144 [CSV: 126 mínimo agregado]
orig10,2026-05-18,medianoche,glucosa valor,A355 con A,Accuchek 355
orig10,2026-05-21,mediodia,glucosa valor,"283 repite 18/5, posible error copia",sin error 283
orig10,2026-05-22,mediodia,glucosa valor,"188 repite 19/5, posible error copia",sin error 188
orig11,2026-05-25,ayuno,glucosa valor,6:00 AM 125 ayuno,medicion extra a la mañana
orig11,2026-05-25,mediodia,glucosa valor,"RESUELTO: 303 mediodía, 152 16:00",mediciones extra
orig11,2026-05-26,mediodia,CANINSULIN dosis,"no_dado sin dosis escrita, dosis inferida 0,22",no dado caninsulin por glucemia baja 
orig12,2026-06-03,ayuno,nota,"7,3 kg peso, no glucosa",peso
orig13,2026-06-09,ayuno,nota,PISI AGUA arriba,poliuria polidipsia
orig13,2026-06-11,ayuno,nota,"7,3 kg peso",peso
orig13,2026-06-08/14,ayuno,T4 filas,"resumen ayuno dado x7, dosis vacía","dado t4, ¼ de comprimido de 0.3mg"
orig08,2026-05-06,mediodia,nota,APETITO ARRIBA ESUELDO bajo INSULINA,"aumento de apetito, aumento de energia"
orig09,2026-05-15,mediodia,nota,16 40/139 circulado bajo INSULINA,medicion glucemia extra a las 16:40 139 [CSV: fila 16:40 agregada]
orig15,2026-06-21,mediodia,glucosa valor,154 grande + 186 pequeño debajo,medicion glucemia extra [CSV: queda 154 mínimo]
orig15,2026-06-15,mediodia,CANINSULIN dosis,"0,22 solo lunes vs 0,24 resto",datos correctos
orig15,2026-06-20,ayuno,nota,"7,6kg peso sábado",peso
orig17,2026-06-27,medianoche,glucosa valor,298 vs 299,299
orig17,2026-06-24,medianoche,CANINSULIN dosis,"0,24 vs 0,22",0.24
orig19,2026-07-03,ayuno,nota,"7,4kg peso viernes",peso
orig19,2026-07-03,medianoche,CANINSULIN,"0,24 tachado, ambiguo","Dado, 0.24"
orig21,2026-07-10/12,mediodia,CANINSULIN,"dosis 0,24 + check vs guion",todo dado
orig23,2026-07-14,mediodia,glucosa valor,"99 con 46 pequeño arriba, posible 499/469",medicion extra 96 y 99 [CSV: 96 confirmado]
orig23,2026-07-15,mediodia,CANINSULIN,"flecha ->, ambiguo",no dado caninsulin por glucemia baja 
orig23,2026-07-17,mediodia,CANINSULIN,"flecha ->, ambiguo",no dado caninsulin por glucemia baja 
orig23,2026-07-19,medianoche,glucosa valor,50 con 53 debajo,medicion extra 50 y 53
orig23,2026-07-17,medianoche,nota marginal,20:15 360 arriba viernes,medicion extra a 20:15 360 [CSV: fila 20:15 agregada]
orig25,2026-07-25,mediodia,glucosa valor,55* asterisco + nota vertical ilegible,"nota para consultar a medica, revisar proporcion comida y revisar suplementos, por glucemias asimetricas entre mediodia y media noche"
orig25,2026-07-25,mediodia,nota marginal,texto vertical ilegible,"nota para consultar a medica, revisar proporcion comida y revisar suplementos, por glucemias asimetricas entre mediodia y media noche"
orig25,2026-07-25,medianoche,CANINSULIN dosis,"vacía solo check, dado",dado 
