fecha,momento,ingrediente,dosis,estado,origen
2026-06-15,mediodia,PECHUGA,100,vacio,orig14
2026-06-15,mediodia,MUSLO,25,vacio,orig14
2026-06-15,mediodia,ARROZ,25,vacio,orig14
2026-06-15,mediodia,ZAPALLITO,25,vacio,orig14
2026-06-15,mediodia,JUREL,25,vacio,orig14
2026-06-15,mediodia,CALCIVET,,vacio,orig14
2026-06-15,mediodia,TAURINA,,vacio,orig14
2026-06-15,mediodia,FM,,vacio,orig14
2026-06-15,medianoche,PECHUGA,100,vacio,orig14
2026-06-15,medianoche,MUSLO,25,vacio,orig14
2026-06-15,medianoche,ARROZ,25,vacio,orig14
2026-06-15,medianoche,ZAPALLITO,25,vacio,orig14
2026-06-15,medianoche,CALCIVET,,vacio,orig14
2026-06-16,mediodia,PECHUGA,100,vacio,orig14
2026-06-16,mediodia,MUSLO,25,vacio,orig14
2026-06-16,mediodia,ARROZ,25,vacio,orig14
2026-06-16,mediodia,ZAPALLITO,25,vacio,orig14
2026-06-16,mediodia,JUREL,25,vacio,orig14
2026-06-16,mediodia,CALCIVET,,vacio,orig14
2026-06-16,mediodia,TAURINA,,vacio,orig14
2026-06-16,mediodia,FM,,vacio,orig14
2026-06-16,medianoche,PECHUGA,100,vacio,orig14
2026-06-16,medianoche,MUSLO,25,vacio,orig14
2026-06-16,medianoche,ARROZ,25,vacio,orig14
2026-06-16,medianoche,ZAPALLITO,25,vacio,orig14
2026-06-16,medianoche,CALCIVET,,vacio,orig14
2026-06-17,mediodia,PECHUGA,100,dado,orig14
2026-06-17,mediodia,MUSLO,25,dado,orig14
2026-06-17,mediodia,ARROZ,25,dado,orig14
2026-06-17,mediodia,ZAPALLITO,25,dado,orig14
2026-06-17,mediodia,JUREL,25,dado,orig14
2026-06-17,mediodia,CALCIVET,,dado,orig14
2026-06-17,mediodia,TAURINA,,dado,orig14
2026-06-17,mediodia,FM,,dado,orig14
2026-06-17,medianoche,PECHUGA,100,dado,orig14
2026-06-17,medianoche,MUSLO,25,dado,orig14
2026-06-17,medianoche,ARROZ,25,dado,orig14
2026-06-17,medianoche,ZAPALLITO,25,dado,orig14
2026-06-17,medianoche,CALCIVET,,dado,orig14
2026-06-18,mediodia,ROYAL_CANIN,100,dado,orig14
2026-06-18,mediodia,MUSLO,25,dado,orig14
2026-06-18,mediodia,ARROZ,25,dado,orig14
2026-06-18,mediodia,ZAPALLITO,25,dado,orig14
2026-06-18,mediodia,JUREL,25,no_dado,orig14
2026-06-18,mediodia,CALCIVET,,dado,orig14
2026-06-18,mediodia,TAURINA,,dado,orig14
2026-06-18,mediodia,FM,,dado,orig14
2026-06-18,medianoche,PECHUGA,100,dado,orig14
2026-06-18,medianoche,MUSLO,25,dado,orig14
2026-06-18,medianoche,ARROZ,25,dado,orig14
2026-06-18,medianoche,ZAPALLITO,25,dado,orig14
2026-06-18,medianoche,CALCIVET,,dado,orig14
2026-06-19,mediodia,PECHUGA,100,dado,orig14
2026-06-19,mediodia,MUSLO,25,dado,orig14
2026-06-19,mediodia,ARROZ,25,dado,orig14
2026-06-19,mediodia,ZAPALLITO,25,dado,orig14
2026-06-19,mediodia,JUREL,25,dado,orig14
2026-06-19,mediodia,CALCIVET,,dado,orig14
2026-06-19,mediodia,TAURINA,,dado,orig14
2026-06-19,mediodia,FM,,dado,orig14
2026-06-19,medianoche,PECHUGA,100,dado,orig14
2026-06-19,medianoche,MUSLO,25,dado,orig14
2026-06-19,medianoche,ARROZ,25,dado,orig14
2026-06-19,medianoche,ZAPALLITO,25,dado,orig14
2026-06-19,medianoche,CALCIVET,,dado,orig14
2026-06-20,mediodia,PECHUGA,100,dado,orig14
2026-06-20,mediodia,MUSLO,25,dado,orig14
2026-06-20,mediodia,ARROZ,25,dado,orig14
2026-06-20,mediodia,ZAPALLITO,25,dado,orig14
2026-06-20,mediodia,JUREL,25,no_dado,orig14
2026-06-20,mediodia,CALCIVET,,dado,orig14
2026-06-20,mediodia,TAURINA,,dado,orig14
2026-06-20,mediodia,FM,,dado,orig14
2026-06-20,medianoche,PECHUGA,100,dado,orig14
2026-06-20,medianoche,MUSLO,25,dado,orig14
2026-06-20,medianoche,ARROZ,25,dado,orig14
2026-06-20,medianoche,ZAPALLITO,25,dado,orig14
2026-06-20,medianoche,CALCIVET,,dado,orig14
2026-06-21,mediodia,PECHUGA,100,dado,orig14
2026-06-21,mediodia,MUSLO,25,dado,orig14
2026-06-21,mediodia,ARROZ,25,dado,orig14
2026-06-21,mediodia,ZAPALLITO,25,dado,orig14
2026-06-21,mediodia,JUREL,25,dado,orig14
2026-06-21,mediodia,CALCIVET,,dado,orig14
2026-06-21,mediodia,TAURINA,,dado,orig14
2026-06-21,mediodia,FM,,dado,orig14
2026-06-21,medianoche,PECHUGA,100,dado,orig14
2026-06-21,medianoche,MUSLO,25,dado,orig14
2026-06-21,medianoche,ARROZ,25,dado,orig14
2026-06-21,medianoche,ZAPALLITO,25,dado,orig14
2026-06-21,medianoche,CALCIVET,,dado,orig14
2026-06-22,mediodia,PECHUGA,100,dado,orig16
2026-06-22,mediodia,MUSLO,25,dado,orig16
2026-06-22,mediodia,ARROZ,25,dado,orig16
2026-06-22,mediodia,ZAPALLITO,25,dado,orig16
2026-06-22,mediodia,JUREL,25,no_dado,orig16
2026-06-22,mediodia,CALCIVET,,dado,orig16
2026-06-22,mediodia,TAURINA,,dado,orig16
2026-06-22,mediodia,FM,,dado,orig16
2026-06-22,medianoche,PECHUGA,100,dado,orig16
2026-06-22,medianoche,MUSLO,25,dado,orig16
2026-06-22,medianoche,ARROZ,25,dado,orig16
2026-06-22,medianoche,ZAPALLITO,25,dado,orig16
2026-06-22,medianoche,CALCIVET,,dado,orig16
2026-06-23,mediodia,PECHUGA,100,dado,orig16
2026-06-23,mediodia,MUSLO,25,dado,orig16
2026-06-23,mediodia,ARROZ,25,dado,orig16
