fecha,parametro,valor,unidad,ref_min,ref_max,origen
2024-01-31,ALT_GPT,361,,,,LAB06
2024-01-31,CREATININA,1.35,,,,LAB06
2024-01-31,UREA,69,,,,LAB06
2024-02-02,DENSIDAD_ORINA,1020,,,,LAB06
2024-02-03,DENSIDAD_ORINA,1020,,,,LAB06
2024-02-03,PH_ORINA,ACIDO,,,,LAB06
2025-12-11,ALT_GPT,316,,,,LAB07
2025-12-11,AMILASA,1652,,,,LAB07
2025-12-11,BILIRRUBINA_TOTAL,0.2,,,,LAB07
2025-12-11,CALCIO,11.7,,,,LAB07
2025-12-11,COLESTEROL,240,,,,LAB07
2025-12-11,CREATININA,0.7,,,,LAB07
2025-12-11,EOSINOFILOS_PORC,3,,,,LAB07
2025-12-11,ERITROCITOS,5461000,,,,LAB07
2025-12-11,FAL,97,,,,LAB07
2025-12-11,GGT,9,,,,LAB07
2025-12-11,GLUCOSA,130,,,,LAB07
2025-12-11,HEMATOCRITO,36,,,,LAB07
2025-12-11,HEMOGLOBINA,13,,,,LAB07
2025-12-11,LEUCOCITOS,12760,,,,LAB07
2025-12-11,LINFOCITOS_PORC,30,,,,LAB07
2025-12-11,MONOCITOS_PORC,4,,,,LAB07
2025-12-11,NEUTROFILOS_PORC,59,,,,LAB07
2025-12-11,PLAQUETAS,56000,,,,LAB07
2025-12-11,POTASIO,5.4,,,,LAB07
2025-12-11,PROTEINAS_TOTALES,7.6,,,,LAB07
2025-12-11,RELACION_NA_K,26.1,,,,LAB07
2025-12-11,SODIO,141,,,,LAB07
2025-12-11,UREA,34.2,,,,LAB07
2026-02-18,GLUCOSA,508,mg/dL,,,LAB08
2026-02-18,ERITROCITOS,5210000,/mm3,5000000,8500000,LAB12
2026-02-18,GLUCOSA,487,mg/dl,,,LAB12
2026-02-18,HCM,24,pg,13,17,LAB12
2026-02-18,HEMATOCRITO,37,%,35,45,LAB12
2026-02-18,HEMOGLOBINA,13,gr/dl,8,15,LAB12
